PostId,Title,Body,TDR,TDTYPE,Subcategory,Urgency,Lenght,NegativeS,NeutralS,PositiveS,CompoundS
316285,Shared Purpose tables in database design ( how would *you* implement a question/answer facility ),"I have long considered the design of a database that involves shared table purposes to be somewhat a trait of smelly code, and progressively increasing proliferation of smelly-code related problems.By this I mean, people over-normalizing, using 1 table where 2 tables could be more logical, people who've just discovered what normalizing is and overuse it to the point where they virtually layer a database on a database, or trying to use hierarchical data naively to solve all their problems. The question is, when you have 2 sets of data, which appear to be the same, but they have a different purpose, do you use the same table to represent it? When do you know when it is a good idea and a bad idea to use this? I've always been of the mind that needless self-referencing tables or structures that involved any table being used twice in the same query was a very dangerous predicament, both in design, and in long term performance and ease of future improvement.That was of course, until I saw a thing or two in the RSS feeds for SO here. Now I'm not going onto a meta discussion about how SO works, but there appears to be an implicit design consideration here that challenged my thinking and want to glean a more cohesive answer on that style of logic. You'll notice the generic question has the format:   /question/1234/stuff-here-that-s-safe-to-leave-outreAnd I generally assumed that this implied that questions were numerically ordered somewhere. But here is what stumped me:I'll take for example a href=https://stackoverflow.com/questions/316210question 316210/a. If you look at the a href=https://stackoverflow.com/feeds/question/316210rss feed/a for this question, you will note there is a entry for the question, and a series of answer entries, which are functionally identical for the question entry except for a few minor differences. Now note in the answer entries also have link references, ... to questions, not the same question however, but to different questions, such as a href=https://stackoverflow.com/questions/316218/question 316218/a, which , when visited, redirects you back to the original question. Now I'm not interested in emhow/em they implement that in the code, the problem is that you have here, questions and answers appear to be sharing the same table ( hence the sequential question ID's ) , and when users refer to an answer ID, you have to first query the database, and then go hey!, oops!, that's not a question! and then proceed to do a emsecond/em query to find out the parent of that question ( in the same table ) and then redirect you to the actual question page, not to mention all the hullabaloo required with self joining queries ( which I've always considered filthy ) and conditionals all over the place to tune behavior. Less Digressing, the real problem/The problem is, here you have 2 sets of data sharing the same table, and sure, this data is superficially similar, for now at least, but there looks like there is just so much technical debt involved. The long term considerations involved with implementing new features that can apply to questions and not answers and vice versa, not to mention avoiding one being interpreted as another in some obscure corner. You can't add a new column for use in one application set without having to consider the resulting effects in another. Sure, there is a minor benefit from using the singular table and that's when you emare/em making a feature that is shared between facets you only have to code it once, but this could be just as easily represented by using an ancestor class of common methods, and child classes that bind to the specific tables for the difference cases. So at least that way, adding a new feature has no follow-on implications for the other scenario. Now I've encountered this sort of problem in many places before, sure, but SO is the most easy example to point out. When you implement your databases like this, do you share the table, or do you fork?When, and why?",TD-related,architecture,database,4,667,0.047,0.867,0.085,0.9757
401541,Serialize ASP.NET Control collection,"I've been tasked with converting an existing ASP.NET site from using InProc session management to using the ASP.NET State Server.Of course what this means is that anything stored in the Session must be serializable.One of the most complicated pages in the app is currently storing an ASP.NET control collection to the Session. This is failing miserably because the controls cannot be serialized automatically.Short of totally rewriting how the page works to prevent the need for storing the control collection in the Session, does anyone have a trick/solution for making the collection serializable?",TD-related,architecture,legacy,3,92,0.067,0.921,0.012,-0.743
431107,Spring context files organization and best practices,"We have started using Spring framework in my project. After becoming acquainted with the basic features (IoC) we have started using spring aop and spring security as well.The problem is that we now have more than 8 different context files and I feel we didn't give enough thought for the organization of those files and their roles. New files were introduced as the project evolved. We have different context files for: metadata, aop, authorization, services, web resources (it's a RESTful application). So when a developer wants to add a new bean it's not always clear in which file he should add it. We need methodology.The question:Is there a best practice for spring files organization?Should the context files encapsulate layers (DAL , Business Logic, Web) or use cases ? or Flows?",TD-related,architecture,"duplication, suboptimal_design, management, framework",2,130,0.037,0.89,0.073,0.6962
577083,Is there a point where cost of refactoring outweighs the cost of re-writing?,"We have some really shocking code touted as a next generation framework at my current place of employment.Thing is, there is only one person of this opinion and that is the guy who wrote most of it. The rest of the department are of the impression it is badly coded, a pita to debug and just a bit naff in general.The guy that wrote it has a pretty influential position with management so they are on that side of the camp.We have highlighted (genuine) concerns to management but obviously they're not willing to put more time in to a project that doesn't directly contribute to the bottom line.There are several applications deployed on this framework so any refactoring will need to encompass those applications.The whole thing is so intertwined that we cant just rip out an implementation of a particular class and rewrite it that way so even simple changes to core api mean a large project.It does however have 3 years in live deployment and many bug fixes, corner cases and boundary conditions catered for.Do we rewrite in parts and try to refactor that in given that it would be several large projects, refactor over time which is likely to take another 3 years to get it in to shape or do we just rewrite our specific requirements on top of an existing framework?",TD-related,architecture,"management, dependency",5,225,0.034,0.932,0.035,0.0571
607683,n-Tier Architecture Feedback Needed,"I started my website, like stackoverflow, with a little technical debt that I'm trying to pay off. Being a contract developer, I've been in many places and see many different methods of achieving this result, but the way I'm going is..Presentation (web)Business Layer (old fashioned entity classes and BL layer)Data Layer (DA classes to SQL Server via Stored Proc)My question primarily concerns the Business Layer. Right now I have an Entity namespace and a BusinessLogic namespace. The BL has a reference to the DA and the Entity.The Entity has a reference to the DA(The DA is unaware of the BL or Entity)I really want all my churning of turning Data into Entities to occur within the BL -- thus the Business Logic. However, I want the Entity to be able to access the BL if need be -- and thus remove the Entity's reference to the DL.So...Is is wrong to have the BL and Entity objects within the same namespace so they can work together?Essentially, I'm trying have an entity object like Employee (classic example, eh?) and have the Employee have a public Hashtable[] SubordinateEmployeesreproperty that returns a Hashtable of other Employee objects that report to this employee. But I don't want to load it until it's needed. So for most employees the property would never get accessed, but when it does, it self-loads with a call to the BL, which calls the DA.Does the question make sense?If so, does my solution? Thanks so much in advance!",TD-related,architecture,"suboptimal_design, td_resolution, churn",2,247,0.032,0.764,0.204,0.9951
836274,Coverting from Datasets to stored procs and modern ORM,"How much effort would it take to migrate a large existing codebase from a ly Typed Dataset driven data access layer to a DAL driven by stored procs and/or a more modern ORM package? Is there any shiny tool that automates a portion of this process?The current code base has well over 100+ datasets mirroring the sql database (but haven't always been 100% in sync with changes in the DB structure). The current stance is that it would be too much time/effort to change now, but I question how much technical debt this is leaving us to pay down every week. This is to say nothing of the performance on the backend of datasets' SQL vs. an optimized sproc.So, is that justified? Would something like that be too much of a monster to tackle in a reasonable time and get a worthwhile payoff? I know I could change the DAO-like classes they use to interfaces (should be already) and develop this on the side while still using the datasets in production until a feasibility test of some sort could be done on a small subset of the whole.",TD-related,architecture,"suboptimal_design, td_resolution, churn",3,188,0.025,0.876,0.098,0.9308
1263580,Persisting/caching data between requests - common approach,"I'm developing an Asp.net (MVC but this doesn't really matter) application. I have a custom IHttpModule that's responsible for the PostAuthenticateRequest to change user principal   identity.I'm storing UserID and UserName in authentication cookie when user logs-in. I have an IUser (implemented by DAO and Business Objects layer, each with their own additional members) that I need all over Business Service classes. When a user wants anything I have to provide IUser object instance (usually from Business Objects layer) so providing ID from the auth ticket isn't sufficient.So I'm thinking of how and where would be best to persist logged in user's IUser data?olliI don't want to fetch it every time from the DB (based on authentication ticket's UserID data)liI can't store it in Session since I have to work inside PostAuthenticateRequest, where Session isn't ready yetliI want all the functionality to be encapsulated within my custom IHttpModuleChoices that I see:ulliCacheliCookieli(Session) - by moving from PostAuthenticateRequest to PostAcquireRequestState event and change principal/identity there, but I'd like to avoid thisProcesses that seem to complicate things are:olliUser logs-in, user data is fetched from the DB and persisted somehow for later requestsliUser logs-out, user data has to be removed from persisted medium automagicallyliUser changes own profile, user data has to be discarded and reread on next request from the DBI wan't all these to be handled automatically by HttpModule (if possible) to eliminate developer's errors of forgetting to reset these things.What I also don't want is to write/read some hardcoded variables/keys and manipulate them in other parts of the application. This would only present technical debt.QuestionsolliWhat would you suggest?liHow does SO persist user data between requests?",TD-related,architecture,suboptimal_design,3,272,0.058,0.899,0.043,0.2206
1333438,Is there a simple framework allowing for Dependency Injection in a stand alone program?,"We basically need to be able to adjust behaviour at start-up time, by providing desired classes to be produced by various factories inside our application (to avoid the hard binding of the new operator).I am aware that this is provided by several large frameworks, but I was looking for something easily used by a stand-alone Java application without being gigantic.Any suggestions?hrEdit: It is my experience that frameworks tend to grow big as part of maturing (and complex too). I need this to be retrofittable to a legacy application as part of major refactoring (technical debt), so simplicity is essential of the used libraries. I do not mind having to do a bit of coding in our application, but it must be very visible what is going on. AOP has a tendency for moving stuff out of the way, and that may make the application harder to maintain.hrEdit: We have now reached the point where we actually need to make a decision. The application will probably live for decades so we need to make a reversible decision with a framework that will be maintained for hopefully as long. I really like the static type check available with Guice, but not that the annotations bind explicitly to Guice instead of being external like in Spring. I also like that code appears to be more concise when using Guice as opposed to Spring. We need something that is robust and helpful. We do not need more than just DI at the moment. Is there a use case that definitive says go for one of these?hrEdit 2011-07-27: The final decision was to use the JSR-330 API in code, and choose on a per-project basis if to use Spring, Guice or Weld. For stand-alone applications Guice has worked well so far as the JSR-330 implementation.",TD-related,architecture,"framework, dependency, td_resolution",2,300,0.009,0.891,0.1,0.9815
1373599,In-house Frameworks vs New C Technologies,If we have developed our own ORM framework and the framework is working fine over the years then why should we learn and use brand new .net technologies like codeLINQ or codeEntity Framework or codeNHibernate or codeCSLA.NET for our upcoming software projects?Note : New frameworks need new effort to learn and teach.Note : This is just an analogy.,TD-related,architecture,"framework, in-house",2,58,0,0.926,0.074,0.5106
1520032,Ways to circumvent a bad database schema?,"Our team has been asked to write a Web interface to an existing SQL Server backend that has its roots in Access. One of the requirements/constraints is that we must limit changes to the SQL backend. We can create views and stored procedures but we have been asked to leave the tables/columns as-is.The SQL backend is less than ideal. Most of the relationships are implicit due to a lack of foreign keys. Some tables lack primary keys. Table and column names are inconsistent and include characters like spaces, slashes, and pound signs.Other than getting a new job or asking them to reconsider this requirement, can anyone provide any good patterns for addressing this deficiency?NOTE: We will be using SQL Server 2005 and ASP.NET with the .NET Framework 3.5.",TD-related,architecture,database,2,128,0.068,0.84,0.092,0.6633
